Transaction;Item;;;Названия столбцов;;;;;;;;;;;;;;;;;;;
1;Ball;;Названия строк;Ball;Bicycle;Cap;Dumbbells;Gloves;Mat;Racket;Shorts;Sneakers;T-shirt;Water;Общий итог;;;Предмет 1;Предмет 2;Частота появления;поддержка;достоверность;значимость
1;T-shirt;;1;1;;;;;;;1;1;1;;4;;;Ball;Shorts;10;0,333333333;0,555555556;
1;Shorts;;2;1;;1;;;;;;1;1;;4;;;Ball;Sneakers;10;0,333333333;0,555555556;
1;Sneakers;;3;;;;1;1;1;;;;;;3;;;Ball;T-shirt;16;0,533333333;0,888888889;1,15942029
2;Cap;;;1;;;;;;;1;;1;1;4;;;Shorts;Ball;10;0,333333333;0,769230769;
2;T-shirt;;5;;1;1;;1;;;;;;;3;;;Shorts;Sneakers;6;0,2;0,461538462;
2;Sneakers;;6;1;;;;;;;1;1;1;;4;;;Shorts;T-shirt;12;0,4;0,923076923;1,204013378
2;Ball;;7;1;;1;;;;1;;;;;3;;;Sneakers;Ball;10;0,333333333;0,769230769;
3;Dumbbells;;8;;;;1;;;;;1;1;;3;;;Sneakers;Shorts;6;0,2;0,461538462;
3;Mat;;9;1;;;;;;;1;1;1;1;5;;;Sneakers;T-shirt;10;0,333333333;0,769230769;
3;Gloves;;10;;;;;1;1;;;;1;;3;;;T-shirt;Ball;16;0,533333333;0,695652174;1,15942029
4;T-shirt;;11;1;;1;;;;;;;1;;3;;;T-shirt;Shorts;12;0,4;0,52173913;1,204013378
4;Shorts;;12;;;;1;;;;1;1;;;3;;;T-shirt;Sneakers;10;0,333333333;0,434782609;
4;Ball;;13;1;;1;;;;;1;;1;;4;;;;;;;;
4;Water;;14;;1;1;;;;;;;1;;3;;;;;;;;
5;Bicycle;;15;1;;;;;;;1;1;1;;4;;Предмет 1;Предмет 2;Предмет 3;Частота появления;;;
5;Cap;;16;;;;1;;1;;;;;1;3;;Ball;Shorts;Sneakers;5;;;
5;Gloves;;17;1;;;;;;;1;;1;;3;;Ball;Shorts;T-shirt;10;;;
6;T-shirt;;18;;;1;;1;;;;1;;;3;;Ball;Sneakers;T-shirt;9;;;
6;Sneakers;;19;1;;;;;;;;1;1;;3;;Shorts;Sneakers;T-shirt;5;;;
6;Ball;;20;1;;;;;;;1;;1;;3;;;;;;;;
6;Shorts;;21;;;1;;;;1;;;1;;3;;;;;;;;
7;Racket;;22;1;;;1;;;;;1;;;3;;;;;;;;
7;Ball;;23;1;;1;;;;;;;1;;3;;;;;;;;
7;Cap;;24;;;;;1;;;1;;1;;3;;;;;;;;
8;Sneakers;;25;1;;;;;;;;1;1;;3;;;;;;;;
8;T-shirt;;26;;;1;;;;;1;;1;1;4;;;;;;;;
8;Dumbbells;;27;1;;;;;;;;1;1;;3;;;;;;;;
9;Ball;;28;;;;1;;1;;;;1;;3;;;;;;;;
9;Shorts;;29;1;;1;;;;;1;;1;;4;;;;;;;;
