Transaction,Item
1,Ball
1,T-shirt
1,Shorts
1,Sneakers
2,Cap
2,T-shirt
2,Sneakers
2,Ball
3,Dumbbells
3,Mat
3,Gloves
4,T-shirt
4,Shorts
4,Ball
4,Water
5,Bicycle
5,Cap
5,Gloves
6,T-shirt
6,Sneakers
6,Ball
6,Shorts
7,Racket
7,Ball
7,Cap
8,Sneakers
8,T-shirt
8,Dumbbells
9,Ball
9,Shorts
9,T-shirt
9,Sneakers
9,Water
10,Mat
10,T-shirt
10,Gloves
11,Cap
11,T-shirt
11,Ball
12,Dumbbells
12,Shorts
12,Sneakers
13,T-shirt
13,Shorts
13,Cap
13,Ball
14,Bicycle
14,Cap
14,T-shirt
15,Ball
15,Sneakers
15,Shorts
15,T-shirt
16,Mat
16,Dumbbells
16,Water
17,T-shirt
17,Ball
17,Shorts
18,Cap
18,Gloves
18,Sneakers
19,T-shirt
19,Sneakers
19,Ball
20,Shorts
20,T-shirt
20,Ball
21,Racket
21,Cap
21,T-shirt
22,Sneakers
22,Dumbbells
22,Ball
23,T-shirt
23,Cap
23,Ball
24,Shorts
24,T-shirt
24,Gloves
25,Sneakers
25,T-shirt
25,Ball
26,Water
26,T-shirt
26,Shorts
26,Cap
27,T-shirt
27,Sneakers
27,Ball
28,Dumbbells
28,Mat
28,T-shirt
29,T-shirt
29,Shorts
29,Ball
29,Cap
30,T-shirt
30,Sneakers
30,Ball
30,Shorts
