ID	Дата	Показатель
G036	03/03/2016	0,81
G037	03/03/2016	0,73
G038	03/03/2016	0,3
G039	03/03/2016	0,68
G040	03/03/2016	0,88
G041	03/03/2016	0,65
G042	03/03/2016	0,75
G043	03/03/2016	0,12
G044	03/03/2016	0,09
G045	03/03/2016	0,82
G046	03/03/2016	0,85
G047	03/03/2016	0,21
G048	03/03/2016	0,71
G049	03/03/2016	0,42
G050	03/03/2016	0,74
G051	03/03/2016	0,52
G052	03/03/2016	0,53
G053	03/03/2016	0,41
G054	03/03/2016	0,66
G055	03/03/2016	0,1
G056	03/03/2016	0,34
G057	03/03/2016	0,94
G058	03/03/2016	0,14
G059	03/03/2016	0,42
G060	03/03/2016	0,97
G061	03/03/2016	0,01
G062	03/03/2016	0,64
G063	03/03/2016	0,11
G064	03/03/2016	0,39
G065	03/03/2016	0,53
G066	03/03/2016	0,98
G067	03/03/2016	0,91
G068	03/03/2016	0,16
G069	03/03/2016	0,21
G070	03/03/2016	0,91
G071	03/03/2016	0,41
G072	03/03/2016	0,73
G073	03/03/2016	0,23
G074	03/03/2016	0,44
G075	03/03/2016	0,43
G076	03/03/2016	0,59
G077	03/03/2016	0,65
G078	03/03/2016	0,46
G079	03/03/2016	0,63
G080	03/03/2016	0,32
G081	03/03/2016	0,35
G082	03/03/2016	0,46
G083	03/03/2016	0,06
G084	03/03/2016	0,96
G085	03/03/2016	0,61
