ID	Дата	Показатель	Показатель 2	Показатель 3	Показатель 4 	Показатель 5
G036	03/03/2016	0,81	0,59	0,34	0,22	96
G037	03/03/2016	0,73	0,95	0,74	0,64	54
G038	03/03/2016	0,3	0,59	0,22	0,99	2
G039	03/03/2016	0,68	0,12	0,86	0,9	70
G040	03/03/2016	0,88	0,27	0,07	0,62	33
G041	03/03/2016	0,65	0,66	0,96	0,7	28
G042	03/03/2016	0,75	0,73	0,83	0,52	33
G043	03/03/2016	0,12	0,38	0,69	0,96	82
G044	03/03/2016	0,09	0,43	0,46	0,56	92
G045	03/03/2016	0,82	0,63	0,89	0,84	36
G046	03/03/2016	0,85	0,71	0,05	0,08	64
G047	03/03/2016	0,21	0,48	0,41	0,9	89
G048	03/03/2016	0,71	0,33	0,15	0,63	88
G049	03/03/2016	0,42	0,32	0,92	0,52	43
G050	03/03/2016	0,74	0,32	0,37	0,97	15
G051	03/03/2016	0,52	0,88	0,86	0,42	76
G052	03/03/2016	0,53	0,09	0,96	0,02	14
G053	03/03/2016	0,41	0,5	0,26	0,19	10
G054	03/03/2016	0,66	0,93	0,41	0,43	43
G055	03/03/2016	0,1	0,88	0,38	0,57	38
G056	03/03/2016	0,34	0,59	0,61	0,16	16
G057	03/03/2016	0,94	0,96	0,16	0,15	81
G058	03/03/2016	0,14	0,97	0,16	0,76	66
G059	03/03/2016	0,42	0,46	0,48	0,19	31
G060	03/03/2016	0,97	0,84	0,23	0,36	25
G061	03/03/2016	0,01	0,42	0,72	0,84	82
G062	03/03/2016	0,64	0,87	0,9	0,02	58
G063	03/03/2016	0,11	0,6	0,91	0,28	17
G064	03/03/2016	0,39	0,27	0,39	0,6	38
G065	03/03/2016	0,53	0,28	0,88	0,68	81
G066	03/03/2016	0,98	0,13	0,46	0,02	9
G067	03/03,2016	0,91	0,13	0,11	0,54	68
G068	03/03/2016	0,16	0,45	0,52	0,44	61
G069	03/03/2016	0,21	0,21	0,32	0,44	61
G070	03/03/2016	0,91	0,57	0,11	0,43	49
G071	03/03/2016	0,41	0,64	0,81	0,74	43
G072	03/03/2016	0,73	0,32	0,36	0,44	33
G073	03/03/2016	0,23	0,91	0,54	0,14	18
G074	03/03/2016	0,44	0,14	0,59	0,27	95
G075	03/03/2016	0,43	0,41	0,25	0,43	38
G076	03/03/2016	0,59	0,87	0,04	0,71	93
G077	03/03/2016	0,65	0,4	0,38	0,86	32
G078	03/03/2016	0,46	0,3	0,42	0,64	29
G079	03/03/2016	0,63	0,09	0,33	0,99	35
G080	03/03/2016	0,32	0,08	0,22	0,96	59
G081	03/03/2016	0,35	0,36	0,09	0,86	44
G082	03/03/2016	0,46	0,18	0,67	0,71	92
G083	03/03/2016	0,06	0,35	0,23	0,32	65
G084	03/03/2016	0,96	0,33	0,39	0,48	82
G085	03/03/2016	0,61	0,76	0,61	0,98	40
