Дата	Объект	Потребление энергии
01/01/2016	Объект 2	229056,5
01/02/2016	Объект 2	235231,3
01/03/2016	Объект 2	123452,3
01/04/2016	Объект 2	568463,2
01/05/2016	Объект 2	215676,2
01/06/2016	Объект 2	123673,1
01/07/2016	Объект 2	245675,7
01/08/2016	Объект 2	421221,3
01/09/2016	Объект 2	235234,1
01/10/2016	Объект 2	345231,2
01/11/2016	Объект 2	465543,1
01/12/2016	Объект 2	123453,2
01/01/2017	Объект 1	232454,2
01/02/2017	Объект 1	231234,2
01/03/2017	Объект 3	331534,5
01/04/2017	Объект 3	131254,7
01/05/2017	Объект 3	281234,2
